
Image Name                     PID Session Name        Session#    Mem Usage
GoogleDriveFS.exe             2472 Console                    1     35,164 K
GoogleDriveFS.exe             8588 Console                    1     73,940 K
devenv.exe                   12092 Console                    1    705,328 K
NisSrv.exe                   12176 Services                   0     14,372 K
TextInputHost.exe             9556 Console                    1     86,844 K
svchost.exe                  10880 Services                   0     29,112 K
svchost.exe                  11748 Services                   0     10,308 K
Microsoft.ServiceHub.Cont     7844 Console                    1     70,964 K
ServiceHub.VSDetouredHost     7228 Console                    1    106,848 K
ServiceHub.ThreadedWaitDi    12584 Console                    1    113,280 K
ServiceHub.IndexingServic    12692 Console                    1     50,500 K
ServiceHub.IdentityHost.e    12368 Console                    1     87,680 K
WmiPrvSE.exe                 12940 Services                   0     20,904 K
ServiceHub.SettingsHost.e    12528 Console                    1    111,544 K
vshost.exe                   12560 Console                    1      1,868 K
vcpkgsrv.exe                 12564 Console                    1     41,428 K
StandardCollector.Service    13600 Services                   0     16,972 K
Project1.exe                 13680 Console                    1     79,236 K
ServiceHub.DataWarehouseH    13964 Console                    1     86,080 K
WebViewHost.exe               6348 Console                    1     56,816 K
ServiceHub.Host.AnyCPU.ex     4684 Console                    1    118,688 K
msedgewebview2.exe           12768 Console                    1    120,592 K
msedgewebview2.exe           13724 Console                    1      9,112 K
msedgewebview2.exe           14212 Console                    1     66,420 K
msedgewebview2.exe           14176 Console                    1     31,644 K
msedgewebview2.exe           14236 Console                    1     18,988 K
msedgewebview2.exe           11244 Console                    1     79,644 K
msedgewebview2.exe            1884 Console                    1     50,228 K
msedgewebview2.exe            2120 Console                    1     61,160 K
msedgewebview2.exe            3100 Console                    1     64,440 K
ServiceHub.TestWindowStor    14820 Console                    1     82,412 K
Start_HDR.exe                15140 Console                    1     17,064 K
BingSvc.exe                  15216 Console                    1     24,124 K
ServiceHub.IntellicodeMod    15272 Console                    1     70,396 K
ServiceHub.Host.netfx.x86    15324 Console                    1     79,808 K
TranslucentTB.exe             7996 Console                    1     58,952 K
RuntimeBroker.exe             8932 Console                    1     13,544 K
CrossDeviceService.exe       10092 Console                    1     83,472 K
RuntimeBroker.exe             5708 Console                    1     14,132 K
vmware-tray.exe              15128 Console                    1     14,004 K
taskhostw.exe                13688 Console                    1      8,692 K
SystemSettings.exe            2020 Console                    1    117,356 K
ApplicationFrameHost.exe      1628 Console                    1     49,624 K
svchost.exe                  14656 Services                   0      9,432 K
svchost.exe                   4928 Services                   0     14,440 K
svchost.exe                   4676 Console                    1     14,716 K
UserOOBEBroker.exe            6964 Console                    1     11,440 K
svchost.exe                   9584 Services                   0     16,844 K
